releaseID,targetVersion,dependentCount,releaseDate,releaseTimestamp
"""org.scala-lang:scala-library""","""2.7.2-rc2""",4,"""2008-11-24T23:33:04Z""",1227569584000
"""org.scala-lang:scala-library""","""2.7.2-rc3""",3,"""2008-11-24T23:33:04Z""",1227569584000
"""org.scala-lang:scala-library""","""2.7.1-rc2""",3,"""2008-11-24T23:33:07Z""",1227569587000
"""org.scala-lang:scala-library""","""2.7.2""",35,"""2008-11-24T23:33:08Z""",1227569588000
"""org.scala-lang:scala-library""","""2.7.1-rc1""",3,"""2008-11-24T23:33:09Z""",1227569589000
"""org.scala-lang:scala-library""","""2.7.1""",46,"""2008-11-24T23:33:22Z""",1227569602000
"""org.scala-lang:scala-library""","""2.7.0-rc2""",5,"""2008-11-24T23:33:22Z""",1227569602000
"""org.scala-lang:scala-library""","""2.7.0-rc3""",3,"""2008-11-24T23:33:22Z""",1227569602000
"""org.scala-lang:scala-library""","""2.7.0-rc1""",3,"""2008-11-24T23:33:25Z""",1227569605000
"""org.scala-lang:scala-library""","""2.7.0""",23,"""2008-11-24T23:33:27Z""",1227569607000
"""org.scala-lang:scala-library""","""2.6.1-rc2""",3,"""2008-11-24T23:33:33Z""",1227569613000
"""org.scala-lang:scala-library""","""2.6.1-rc1""",3,"""2008-11-24T23:33:38Z""",1227569618000
"""org.scala-lang:scala-library""","""2.7.2-rc6""",3,"""2008-11-24T23:33:40Z""",1227569620000
"""org.scala-lang:scala-library""","""2.7.2-rc1""",6,"""2008-11-24T23:33:45Z""",1227569625000
"""org.scala-lang:scala-library""","""2.6.1""",22,"""2008-11-24T23:34:00Z""",1227569640000
"""org.scala-lang:scala-library""","""2.6.0""",7,"""2008-11-24T23:34:01Z""",1227569641000
"""org.scala-lang:scala-library""","""2.7.3.RC1""",3,"""2009-01-06T17:00:18Z""",1231261218000
"""org.scala-lang:scala-library""","""2.7.3.RC2""",3,"""2009-01-08T13:27:50Z""",1231421270000
"""org.scala-lang:scala-library""","""2.7.3""",200,"""2009-01-14T08:32:23Z""",1231921943000
"""org.scala-lang:scala-library""","""2.7.4.RC1""",3,"""2009-04-24T11:25:03Z""",1240572303000
"""org.scala-lang:scala-library""","""2.7.4.final""",3,"""2009-04-24T15:16:07Z""",1240586167000
"""org.scala-lang:scala-library""","""2.7.4""",152,"""2009-04-24T15:37:17Z""",1240587437000
"""org.scala-lang:scala-library""","""2.7.5""",592,"""2009-06-02T16:36:59Z""",1243960619000
"""org.scala-lang:scala-library""","""2.8.0.r18462-b20090811081019""",3,"""2009-08-12T03:10:08Z""",1250046608000
"""org.scala-lang:scala-library""","""2.7.6""",127,"""2009-09-10T14:45:12Z""",1252593912000
"""org.scala-lang:scala-library""","""2.7.7.RC1""",3,"""2009-10-02T15:16:24Z""",1254496584000
"""org.scala-lang:scala-library""","""2.7.7.RC2""",26,"""2009-10-21T00:13:17Z""",1256083997000
"""org.scala-lang:scala-library""","""2.7.7""",974,"""2009-10-28T17:18:20Z""",1256750300000
"""org.scala-lang:scala-library""","""2.8.0.Beta1-RC1""",3,"""2009-11-13T18:32:17Z""",1258137137000
"""org.scala-lang:scala-library""","""2.8.0.Beta1-RC2""",5,"""2009-11-25T21:09:53Z""",1259183393000
"""org.scala-lang:scala-library""","""2.8.0.Beta1-RC3""",4,"""2009-12-17T14:17:21Z""",1261059441000
"""org.scala-lang:scala-library""","""2.8.0.Beta1-RC4""",5,"""2009-12-18T22:35:44Z""",1261175744000
"""org.scala-lang:scala-library""","""2.8.0.Beta1-RC5""",3,"""2009-12-21T19:55:07Z""",1261425307000
"""org.scala-lang:scala-library""","""2.8.0.Beta1-RC6""",5,"""2009-12-23T17:13:39Z""",1261588419000
"""org.scala-lang:scala-library""","""2.8.0.Beta1-RC7""",4,"""2010-01-08T16:45:28Z""",1262969128000
"""org.scala-lang:scala-library""","""2.8.0.Beta1-RC8""",8,"""2010-01-18T20:57:14Z""",1263848234000
"""org.scala-lang:scala-library""","""2.8.0.Beta1""",98,"""2010-01-27T13:56:25Z""",1264600585000
"""org.scala-lang:scala-library""","""2.8.0.RC1""",70,"""2010-04-14T19:50:53Z""",1271274653000
"""org.scala-lang:scala-library""","""2.8.0.RC2""",46,"""2010-05-10T11:16:19Z""",1273490179000
"""org.scala-lang:scala-library""","""2.8.0.RC3""",31,"""2010-05-27T13:08:45Z""",1274965725000
"""org.scala-lang:scala-library""","""2.8.0.RC4""",3,"""2010-06-12T15:07:00Z""",1276355220000
"""org.scala-lang:scala-library""","""2.8.0.RC5""",3,"""2010-06-13T18:01:30Z""",1276452090000
"""org.scala-lang:scala-library""","""2.8.0.RC6""",33,"""2010-06-18T11:05:22Z""",1276859122000
"""org.scala-lang:scala-library""","""2.8.0.RC7""",27,"""2010-06-30T15:33:19Z""",1277911999000
"""org.scala-lang:scala-library""","""2.8.0""",1841,"""2010-07-14T16:10:05Z""",1279123805000
"""org.scala-lang:scala-library""","""2.8.1.RC1""",34,"""2010-09-21T12:32:16Z""",1285072336000
"""org.scala-lang:scala-library""","""2.8.1.RC2""",16,"""2010-09-30T08:36:47Z""",1285835807000
"""org.scala-lang:scala-library""","""2.8.1.RC3""",16,"""2010-10-14T20:11:47Z""",1287087107000
"""org.scala-lang:scala-library""","""2.8.1.RC4""",11,"""2010-10-26T09:18:10Z""",1288084690000
"""org.scala-lang:scala-library""","""2.8.1""",2378,"""2010-11-09T18:01:48Z""",1289325708000
"""org.scala-lang:scala-library""","""2.9.0.RC1""",82,"""2011-03-25T16:08:52Z""",1301069332000
"""org.scala-lang:scala-library""","""2.9.0.RC2""",6,"""2011-04-26T13:37:28Z""",1303825048000
"""org.scala-lang:scala-library""","""2.9.0.RC3""",48,"""2011-05-03T13:41:06Z""",1304430066000
"""org.scala-lang:scala-library""","""2.9.0.RC4""",21,"""2011-05-08T13:19:04Z""",1304860744000
"""org.scala-lang:scala-library""","""2.9.0""",1393,"""2011-05-11T16:51:02Z""",1305132662000
"""org.scala-lang:scala-library""","""2.9.0.RC5""",9,"""2011-05-11T19:35:16Z""",1305142516000
"""org.scala-lang:scala-library""","""2.9.0-1""",1677,"""2011-05-24T10:11:26Z""",1306231886000
"""org.scala-lang:scala-library""","""2.9.1.RC1""",25,"""2011-07-25T12:27:13Z""",1311596833000
"""org.scala-lang:scala-library""","""2.8.2.RC1""",15,"""2011-07-28T14:50:54Z""",1311864654000
"""org.scala-lang:scala-library""","""2.9.1.RC2""",5,"""2011-08-09T20:08:11Z""",1312920491000
"""org.scala-lang:scala-library""","""2.9.1.RC3""",4,"""2011-08-15T23:13:07Z""",1313449987000
"""org.scala-lang:scala-library""","""2.9.1.RC4""",16,"""2011-08-24T11:12:05Z""",1314184325000
"""org.scala-lang:scala-library""","""2.9.1""",5222,"""2011-08-31T08:39:52Z""",1314779992000
"""org.scala-lang:scala-library""","""2.8.2.RC2""",4,"""2011-09-08T15:53:59Z""",1315497239000
"""org.scala-lang:scala-library""","""2.8.2.RC3""",3,"""2011-09-20T11:50:17Z""",1316519417000
"""org.scala-lang:scala-library""","""2.8.2""",571,"""2011-09-27T09:07:33Z""",1317114453000
