releaseID,targetVersion,dependentCount,releaseDate,releaseTimestamp
"""org.slf4j:slf4j-api""","""1.8.0-alpha2""",476,"""2017-04-25T22:11:59Z""",1493158319000
"""org.slf4j:slf4j-api""","""1.8.0-beta0""",121,"""2017-10-20T12:58:48Z""",1508504328000
"""org.slf4j:slf4j-api""","""1.8.0-beta1""",95,"""2018-01-30T12:23:18Z""",1517314998000
"""org.slf4j:slf4j-api""","""1.8.0-beta2""",7609,"""2018-03-21T22:01:42Z""",1521669702000
"""org.slf4j:slf4j-api""","""1.7.26""",105620,"""2019-02-18T23:16:01Z""",1550531761000
"""org.slf4j:slf4j-api""","""1.8.0-beta4""",11392,"""2019-02-19T17:29:57Z""",1550597397000
"""org.slf4j:slf4j-api""","""2.0.0-alpha0""",573,"""2019-06-12T23:18:42Z""",1560381522000
"""org.slf4j:slf4j-api""","""1.7.27""",1183,"""2019-08-06T09:18:11Z""",1565083091000
"""org.slf4j:slf4j-api""","""1.7.28""",39510,"""2019-08-10T08:27:20Z""",1565425640000
"""org.slf4j:slf4j-api""","""2.0.0-alpha1""",20507,"""2019-10-01T19:09:26Z""",1569956966000
"""org.slf4j:slf4j-api""","""1.7.29""",41190,"""2019-10-31T12:24:34Z""",1572524674000
"""org.slf4j:slf4j-api""","""1.7.30""",167837,"""2019-12-16T21:03:36Z""",1576530216000
"""org.slf4j:slf4j-api""","""1.7.31""",4844,"""2021-06-17T21:35:19Z""",1623965719000
"""org.slf4j:slf4j-api""","""2.0.0-alpha2""",7439,"""2021-07-02T14:57:15Z""",1625237835000
"""org.slf4j:slf4j-api""","""1.7.32""",124267,"""2021-07-20T11:56:53Z""",1626782213000
"""org.slf4j:slf4j-api""","""2.0.0-alpha3""",16,"""2021-08-10T13:59:21Z""",1628603961000
"""org.slf4j:slf4j-api""","""2.0.0-alpha4""",57,"""2021-08-12T21:31:36Z""",1628803896000
"""org.slf4j:slf4j-api""","""2.0.0-alpha5""",50154,"""2021-08-30T16:05:16Z""",1630339516000
"""org.slf4j:slf4j-api""","""1.7.33""",19524,"""2022-01-13T14:36:33Z""",1642084593000
"""org.slf4j:slf4j-api""","""2.0.0-alpha6""",918,"""2022-01-13T15:40:03Z""",1642088403000
"""org.slf4j:slf4j-api""","""1.7.34""",636,"""2022-01-25T08:10:19Z""",1643098219000
"""org.slf4j:slf4j-api""","""1.7.35""",16595,"""2022-01-25T10:39:22Z""",1643107162000
"""org.slf4j:slf4j-api""","""1.7.36""",267595,"""2022-02-08T13:33:50Z""",1644327230000
"""org.slf4j:slf4j-api""","""2.0.0-alpha7""",726,"""2022-03-17T18:36:56Z""",1647542216000
"""org.slf4j:slf4j-api""","""2.0.0-beta0""",172,"""2022-08-05T20:51:20Z""",1659732680000
"""org.slf4j:slf4j-api""","""2.0.0-beta1""",58,"""2022-08-06T21:34:32Z""",1659821672000
"""org.slf4j:slf4j-api""","""2.0.0""",3201,"""2022-08-20T19:08:54Z""",1661022534000
"""org.slf4j:slf4j-api""","""2.0.1""",2561,"""2022-09-14T14:30:37Z""",1663165837000
"""org.slf4j:slf4j-api""","""2.0.2""",2065,"""2022-09-20T19:40:01Z""",1663702801000
"""org.slf4j:slf4j-api""","""2.0.3""",6605,"""2022-09-28T10:18:07Z""",1664360287000
"""org.slf4j:slf4j-api""","""2.0.4""",2595,"""2022-11-17T20:26:38Z""",1668716798000
"""org.slf4j:slf4j-api""","""2.0.5""",6484,"""2022-11-25T11:42:46Z""",1669376566000
"""org.slf4j:slf4j-api""","""2.0.6""",41371,"""2022-12-12T19:13:48Z""",1670872428000
"""org.slf4j:slf4j-api""","""2.0.7""",57599,"""2023-03-17T19:36:58Z""",1679081818000
"""org.slf4j:slf4j-api""","""2.0.8""",27,"""2023-09-03T15:23:34Z""",1693754614000
"""org.slf4j:slf4j-api""","""2.0.9""",43690,"""2023-09-03T16:14:32Z""",1693757672000
"""org.slf4j:slf4j-api""","""2.1.0-alpha0""",11,"""2023-12-28T19:41:39Z""",1703792499000
"""org.slf4j:slf4j-api""","""2.0.10""",1505,"""2023-12-28T20:50:38Z""",1703796638000
"""org.slf4j:slf4j-api""","""2.1.0-alpha1""",134,"""2024-01-02T19:24:24Z""",1704223464000
"""org.slf4j:slf4j-api""","""2.0.11""",7029,"""2024-01-08T18:01:53Z""",1704736913000
"""org.slf4j:slf4j-api""","""2.0.12""",29915,"""2024-02-05T21:32:56Z""",1707168776000
"""org.slf4j:slf4j-api""","""2.0.13""",38047,"""2024-04-12T14:24:03Z""",1712931843000
"""org.slf4j:slf4j-api""","""2.0.14""",552,"""2024-08-06T20:33:36Z""",1722976416000
"""org.slf4j:slf4j-api""","""2.0.15""",119,"""2024-08-08T12:59:43Z""",1723121983000
"""org.slf4j:slf4j-api""","""2.0.16""",1338,"""2024-08-10T09:15:06Z""",1723281306000
