artifactID,targetVersion,dependentCount,releaseDate,releaseTimestamp
"""org.junit.jupiter:junit-jupiter-engine""","""5.0.0-M1""",6,"""2016-07-07T09:05:37Z""",1467882337000
"""org.junit.jupiter:junit-jupiter-engine""","""5.0.0-M2""",206,"""2016-07-23T18:14:36Z""",1469297676000
"""org.junit.jupiter:junit-jupiter-engine""","""5.0.0-M3""",539,"""2016-11-30T09:05:51Z""",1480496751000
"""org.junit.jupiter:junit-jupiter-engine""","""5.0.0-M4""",1120,"""2017-04-01T19:23:29Z""",1491074609000
"""org.junit.jupiter:junit-jupiter-engine""","""5.0.0-M5""",5,"""2017-07-04T16:39:17Z""",1499186357000
"""org.junit.jupiter:junit-jupiter-engine""","""5.0.0-M6""",21,"""2017-07-18T19:27:38Z""",1500406058000
"""org.junit.jupiter:junit-jupiter-engine""","""5.0.0-RC1""",3,"""2017-07-30T19:13:06Z""",1501441986000
"""org.junit.jupiter:junit-jupiter-engine""","""5.0.0-RC2""",31,"""2017-07-30T20:37:03Z""",1501447023000
"""org.junit.jupiter:junit-jupiter-engine""","""5.0.0-RC3""",14,"""2017-08-23T18:41:26Z""",1503513686000
"""org.junit.jupiter:junit-jupiter-engine""","""5.0.0""",699,"""2017-09-10T18:09:14Z""",1505066954000
"""org.junit.jupiter:junit-jupiter-engine""","""5.0.1""",2348,"""2017-10-03T12:27:52Z""",1507033672000
"""org.junit.jupiter:junit-jupiter-engine""","""5.0.2""",793,"""2017-11-12T14:02:39Z""",1510495359000
"""org.junit.jupiter:junit-jupiter-engine""","""5.1.0-M1""",28,"""2017-11-19T15:54:20Z""",1511106860000
"""org.junit.jupiter:junit-jupiter-engine""","""5.0.3""",2124,"""2018-01-15T19:03:07Z""",1516042987000
"""org.junit.jupiter:junit-jupiter-engine""","""5.1.0-M2""",28,"""2018-01-28T19:35:49Z""",1517168149000
"""org.junit.jupiter:junit-jupiter-engine""","""5.1.0-RC1""",10,"""2018-02-04T18:51:24Z""",1517770284000
"""org.junit.jupiter:junit-jupiter-engine""","""5.1.0""",1805,"""2018-02-18T19:40:55Z""",1518982855000
"""org.junit.jupiter:junit-jupiter-engine""","""5.1.1""",3818,"""2018-04-08T18:57:34Z""",1523213854000
"""org.junit.jupiter:junit-jupiter-engine""","""5.2.0-M1""",27,"""2018-04-15T17:32:15Z""",1523813535000
"""org.junit.jupiter:junit-jupiter-engine""","""5.2.0-RC1""",38,"""2018-04-22T19:16:06Z""",1524424566000
"""org.junit.jupiter:junit-jupiter-engine""","""5.2.0""",9022,"""2018-04-29T18:23:26Z""",1525026206000
"""org.junit.jupiter:junit-jupiter-engine""","""5.3.0-M1""",560,"""2018-06-24T19:55:57Z""",1529870157000
"""org.junit.jupiter:junit-jupiter-engine""","""5.3.0-RC1""",28,"""2018-08-13T18:54:02Z""",1534186442000
"""org.junit.jupiter:junit-jupiter-engine""","""5.3.0""",420,"""2018-09-03T19:22:33Z""",1536002553000
"""org.junit.jupiter:junit-jupiter-engine""","""5.3.1""",7453,"""2018-09-11T04:48:52Z""",1536641332000
"""org.junit.jupiter:junit-jupiter-engine""","""5.3.2""",9666,"""2018-11-25T19:10:57Z""",1543173057000
"""org.junit.jupiter:junit-jupiter-engine""","""5.4.0-M1""",225,"""2018-12-23T18:23:25Z""",1545589405000
"""org.junit.jupiter:junit-jupiter-engine""","""5.4.0-RC1""",87,"""2019-01-24T19:42:09Z""",1548358929000
"""org.junit.jupiter:junit-jupiter-engine""","""5.4.0-RC2""",74,"""2019-01-31T19:30:56Z""",1548963056000
"""org.junit.jupiter:junit-jupiter-engine""","""5.4.0""",6434,"""2019-02-07T20:13:58Z""",1549570438000
"""org.junit.jupiter:junit-jupiter-engine""","""5.4.1""",3248,"""2019-03-17T19:10:31Z""",1552849831000
"""org.junit.jupiter:junit-jupiter-engine""","""5.5.0-M1""",657,"""2019-03-19T16:10:22Z""",1553011822000
"""org.junit.jupiter:junit-jupiter-engine""","""5.4.2""",8745,"""2019-04-07T17:29:57Z""",1554658197000
"""org.junit.jupiter:junit-jupiter-engine""","""5.5.0-RC1""",70,"""2019-06-06T20:40:17Z""",1559853617000
"""org.junit.jupiter:junit-jupiter-engine""","""5.5.0-RC2""",13,"""2019-06-20T09:27:20Z""",1561022840000
"""org.junit.jupiter:junit-jupiter-engine""","""5.5.0""",4396,"""2019-06-30T19:47:25Z""",1561924045000
"""org.junit.jupiter:junit-jupiter-engine""","""5.5.1""",3284,"""2019-07-20T14:39:14Z""",1563633554000
"""org.junit.jupiter:junit-jupiter-engine""","""5.5.2""",15531,"""2019-09-08T18:34:26Z""",1567967666000
"""org.junit.jupiter:junit-jupiter-engine""","""5.6.0-M1""",367,"""2019-10-21T19:10:24Z""",1571685024000
"""org.junit.jupiter:junit-jupiter-engine""","""5.6.0-RC1""",78,"""2020-01-06T15:59:39Z""",1578326379000
"""org.junit.jupiter:junit-jupiter-engine""","""5.6.0""",8048,"""2020-01-20T20:05:14Z""",1579550714000
"""org.junit.jupiter:junit-jupiter-engine""","""5.6.1""",1183,"""2020-03-22T18:57:23Z""",1584903443000
"""org.junit.jupiter:junit-jupiter-engine""","""5.6.2""",19155,"""2020-04-10T14:19:43Z""",1586528383000
"""org.junit.jupiter:junit-jupiter-engine""","""5.7.0-M1""",1039,"""2020-04-19T18:29:20Z""",1587320960000
"""org.junit.jupiter:junit-jupiter-engine""","""5.7.0-RC1""",206,"""2020-08-16T16:29:03Z""",1597595343000
"""org.junit.jupiter:junit-jupiter-engine""","""5.7.0""",20495,"""2020-09-13T13:15:44Z""",1600002944000
"""org.junit.jupiter:junit-jupiter-engine""","""5.6.3""",1303,"""2020-10-26T20:39:49Z""",1603744789000
"""org.junit.jupiter:junit-jupiter-engine""","""5.7.1""",13790,"""2021-02-04T19:47:41Z""",1612468061000
"""org.junit.jupiter:junit-jupiter-engine""","""5.8.0-M1""",1449,"""2021-02-11T18:58:55Z""",1613069935000
"""org.junit.jupiter:junit-jupiter-engine""","""5.7.2""",16333,"""2021-05-15T12:16:36Z""",1621080996000
"""org.junit.jupiter:junit-jupiter-engine""","""5.8.0-RC1""",63,"""2021-08-17T17:34:49Z""",1629221689000
"""org.junit.jupiter:junit-jupiter-engine""","""5.8.0""",1181,"""2021-09-12T18:46:31Z""",1631472391000
"""org.junit.jupiter:junit-jupiter-engine""","""5.8.1""",16138,"""2021-09-22T18:56:31Z""",1632336991000
"""org.junit.jupiter:junit-jupiter-engine""","""5.8.2""",55333,"""2021-11-28T15:40:11Z""",1638114011000
"""org.junit.jupiter:junit-jupiter-engine""","""5.9.0-M1""",761,"""2022-05-15T18:38:03Z""",1652639883000
"""org.junit.jupiter:junit-jupiter-engine""","""5.9.0-RC1""",218,"""2022-07-04T19:41:30Z""",1656963690000
"""org.junit.jupiter:junit-jupiter-engine""","""5.9.0""",12466,"""2022-07-26T19:09:23Z""",1658862563000
"""org.junit.jupiter:junit-jupiter-engine""","""5.9.1""",31071,"""2022-09-20T18:34:31Z""",1663698871000
"""org.junit.jupiter:junit-jupiter-engine""","""5.9.2""",25141,"""2023-01-10T11:01:58Z""",1673348518000
"""org.junit.jupiter:junit-jupiter-engine""","""5.9.3""",21423,"""2023-04-26T06:28:11Z""",1682490491000
"""org.junit.jupiter:junit-jupiter-engine""","""5.10.0-M1""",443,"""2023-05-13T12:45:43Z""",1683981943000
"""org.junit.jupiter:junit-jupiter-engine""","""5.10.0-RC1""",219,"""2023-07-06T13:12:34Z""",1688649154000
"""org.junit.jupiter:junit-jupiter-engine""","""5.10.0-RC2""",2,"""2023-07-19T13:48:38Z""",1689774518000
"""org.junit.jupiter:junit-jupiter-engine""","""5.10.0""",26322,"""2023-07-23T12:52:42Z""",1690116762000
"""org.junit.jupiter:junit-jupiter-engine""","""5.10.1""",15230,"""2023-11-05T16:50:19Z""",1699203019000
"""org.junit.jupiter:junit-jupiter-engine""","""5.10.2""",35097,"""2024-02-04T08:35:44Z""",1707035744000
"""org.junit.jupiter:junit-jupiter-engine""","""5.11.0-M1""",142,"""2024-04-23T12:48:48Z""",1713876528000
"""org.junit.jupiter:junit-jupiter-engine""","""5.11.0-M2""",493,"""2024-05-17T14:53:04Z""",1715957584000
"""org.junit.jupiter:junit-jupiter-engine""","""5.10.3""",4284,"""2024-06-27T14:08:20Z""",1719497300000
"""org.junit.jupiter:junit-jupiter-engine""","""5.11.0-RC1""",9,"""2024-07-31T11:06:30Z""",1722423990000
"""org.junit.jupiter:junit-jupiter-engine""","""5.11.0""",816,"""2024-08-14T09:21:48Z""",1723627308000
