releaseID,targetVersion,dependentCount,releaseDate,releaseTimestamp
"""junit:junit""","""3.8.1""",72356,"""2005-08-01T09:42:48Z""",1122889368000
"""junit:junit""","""3.7""",91,"""2005-08-01T09:42:48Z""",1122889368000
"""junit:junit""","""3.8""",3094,"""2005-08-01T09:42:49Z""",1122889369000
"""junit:junit""","""4.0""",2890,"""2006-02-16T08:34:50Z""",1140078890000
"""junit:junit""","""3.8.2""",28077,"""2006-03-03T23:22:26Z""",1141428146000
"""junit:junit""","""4.1""",3052,"""2006-05-02T18:54:02Z""",1146596042000
"""junit:junit""","""4.2""",593,"""2006-11-16T22:25:14Z""",1163715914000
"""junit:junit""","""4.3""",848,"""2007-03-20T15:13:18Z""",1174403598000
"""junit:junit""","""4.3.1""",52790,"""2007-03-29T20:46:54Z""",1175201214000
"""junit:junit""","""4.4""",16609,"""2007-07-19T14:13:36Z""",1184854416000
"""junit:junit""","""4.5""",12707,"""2008-08-08T19:30:10Z""",1218223810000
"""junit:junit""","""4.6""",4330,"""2009-05-09T19:38:32Z""",1241897912000
"""junit:junit""","""4.7""",25331,"""2009-08-12T15:54:07Z""",1250092447000
"""junit:junit""","""4.8.1""",60916,"""2010-02-25T12:21:58Z""",1267100518000
"""junit:junit""","""4.8""",1894,"""2010-10-05T08:50:56Z""",1286268656000
"""junit:junit""","""4.8.2""",58147,"""2010-10-05T08:51:28Z""",1286268688000
"""junit:junit""","""4.9""",11478,"""2011-08-22T18:15:37Z""",1314036937000
"""junit:junit""","""4.10""",113425,"""2011-09-29T19:12:15Z""",1317323535000
"""junit:junit""","""4.11-beta-1""",314,"""2012-10-15T19:45:12Z""",1350330312000
"""junit:junit""","""4.11""",374657,"""2012-11-14T19:21:20Z""",1352920880000
"""junit:junit""","""4.12-beta-1""",460,"""2014-07-27T20:41:26Z""",1406493686000
"""junit:junit""","""4.12-beta-2""",75,"""2014-09-25T05:54:40Z""",1411624480000
"""junit:junit""","""4.12-beta-3""",161,"""2014-11-09T15:53:31Z""",1415548411000
"""junit:junit""","""4.12""",1105375,"""2014-12-04T16:17:43Z""",1417709863000
"""junit:junit""","""4.13-beta-1""",534,"""2018-11-25T15:09:14Z""",1543158554000
"""junit:junit""","""4.13-beta-2""",322,"""2019-02-02T13:59:18Z""",1549115958000
"""junit:junit""","""4.13-beta-3""",1149,"""2019-05-05T12:51:25Z""",1557060685000
"""junit:junit""","""4.13-rc-1""",369,"""2019-10-26T12:17:07Z""",1572092227000
"""junit:junit""","""4.13-rc-2""",315,"""2019-12-01T10:01:55Z""",1575194515000
"""junit:junit""","""4.13""",64057,"""2020-01-01T15:44:45Z""",1577893485000
"""junit:junit""","""4.13.1""",342032,"""2020-10-11T15:19:47Z""",1602429587000
"""junit:junit""","""4.13.2""",408044,"""2021-02-13T16:31:52Z""",1613233912000
